feature,importance
Hardness,0.9506598
Temperature,0.007536933
Breed,0.0053400686
Previous_Mastits_status,0.004164787
Day,0.0041331793
Months_after_giving_birth,0.0032810927
EUFL,0.003243136
EURL,0.003194416
IURR,0.0031608841
EURR,0.0030853048
IUFL,0.0030741582
EUFR,0.003068879
IUFR,0.0029663367
IURL,0.002946724
Cow_ID,0.00014427777
Pain,0.0
Milk_visibility,0.0
